id,creation_date,post_id,vote_type_id
77172304,10/23/2014 0:00:00,25564337,8
77708686,11/2/2014 0:00:00,26591753,8
77729570,11/2/2014 0:00:00,26703278,11
110231164,3/22/2016 0:00:00,36165286,11
110547601,3/28/2016 0:00:00,35773270,11
149113798,10/13/2017 0:00:00,46732368,11
141923145,7/1/2017 0:00:00,44813334,8
142024863,7/3/2017 0:00:00,44848633,9
220080244,10/31/2020 0:00:00,64432552,9
206304885,4/4/2020 0:00:00,61022007,15
206863536,4/12/2020 0:00:00,58446094,9
246680846,2/12/2022 0:00:00,71060672,8
8809933,7/25/2010 0:00:00,3249551,8
239974086,10/10/2021 0:00:00,69486188,8
136767095,4/16/2017 0:00:00,43440119,11
245825456,1/27/2022 0:00:00,70843129,15
57098281,11/11/2013 0:00:00,19895422,15
57132472,11/11/2013 0:00:00,19883733,8
57504858,11/18/2013 0:00:00,20047070,15
239141094,9/24/2021 0:00:00,69314621,11
8395756,7/1/2010 0:00:00,3138348,8
8566440,7/12/2010 0:00:00,3217612,8
232916203,6/3/2021 0:00:00,59905395,8
155122498,1/16/2018 0:00:00,48273895,11
43233360,3/15/2013 0:00:00,15425892,11
43402414,3/18/2013 0:00:00,15467926,15
36570884,11/16/2012 0:00:00,13408665,15
36740053,11/20/2012 0:00:00,13467716,15
90387378,6/2/2015 0:00:00,30280516,15
90988851,6/10/2015 0:00:00,30758067,12
226356772,2/14/2021 0:00:00,66075327,8
161489798,4/17/2018 0:00:00,49868426,12
161678171,4/19/2018 0:00:00,48442354,15
70249297,6/19/2014 0:00:00,24261665,15
70266995,6/20/2014 0:00:00,24323637,11
50088136,7/8/2013 0:00:00,17436264,8
116289856,6/17/2016 0:00:00,37891224,15
116349403,6/19/2016 0:00:00,37890716,15
116785400,6/25/2016 0:00:00,38026692,11
251774468,5/23/2022 0:00:00,72345030,15
252237052,6/1/2022 0:00:00,72200590,15
96908165,9/8/2015 0:00:00,32449854,11
129037957,12/26/2016 0:00:00,21807115,15
129070403,12/27/2016 0:00:00,40822428,9
129086456,12/27/2016 0:00:00,5209609,15
181355497,2/20/2019 0:00:00,35006913,15
174032647,10/26/2018 0:00:00,53017523,11
174305456,10/31/2018 0:00:00,31187179,15
174363459,11/1/2018 0:00:00,53082372,11
174941862,11/10/2018 0:00:00,53243120,15
84269652,2/26/2015 0:00:00,28743160,15
63523400,2/27/2014 0:00:00,22080946,11
63826856,3/4/2014 0:00:00,20354836,15
64453932,3/14/2014 0:00:00,15556891,15
22383502,12/21/2011 0:00:00,8595612,11
22417022,12/22/2011 0:00:00,8608363,11
22473956,12/25/2011 0:00:00,8602532,9
22677273,1/2/2012 0:00:00,8697847,15
22735902,1/3/2012 0:00:00,8713992,15
23138123,1/14/2012 0:00:00,8860759,15
103631834,12/17/2015 0:00:00,34330070,15
104241645,12/28/2015 0:00:00,34498170,15
167801676,7/22/2018 0:00:00,51438769,9
199925925,12/17/2019 0:00:00,13599682,15
199941065,12/18/2019 0:00:00,59385843,15
200118220,12/20/2019 0:00:00,48762658,9
29385002,6/18/2012 0:00:00,11055722,15
29387853,6/18/2012 0:00:00,11086571,11
29539440,6/21/2012 0:00:00,11033476,15
29882283,6/29/2012 0:00:00,11255316,15
30256402,7/8/2012 0:00:00,11311783,15
186827485,5/14/2019 0:00:00,56102110,8
187277428,5/21/2019 0:00:00,56247287,11
122765794,9/23/2016 0:00:00,39652406,11
123427937,10/3/2016 0:00:00,39832757,15
77072047,10/21/2014 0:00:00,26490960,15
77242826,10/24/2014 0:00:00,26502810,11
77770907,11/3/2014 0:00:00,26716871,4
110003484,3/19/2016 0:00:00,36098986,11
148707492,10/7/2017 0:00:00,46625445,15
149041182,10/12/2017 0:00:00,46676899,15
149199586,10/15/2017 0:00:00,46755817,15
219728811,10/26/2020 0:00:00,64495213,9
193717084,9/6/2019 0:00:00,55699500,8
205972640,3/30/2020 0:00:00,60932241,15
206217650,4/2/2020 0:00:00,60998021,12
206502778,4/7/2020 0:00:00,61074813,11
246391567,2/7/2022 0:00:00,70962917,9
57873984,11/24/2013 0:00:00,20133988,8
9436960,8/28/2010 0:00:00,3587658,9
240027440,10/11/2021 0:00:00,66268879,15
137191776,4/22/2017 0:00:00,43523790,15
233523406,6/14/2021 0:00:00,67955943,9
233888766,6/20/2021 0:00:00,68054491,15
154929486,1/12/2018 0:00:00,48181629,11
155560411,1/22/2018 0:00:00,45797582,15
43274531,3/15/2013 0:00:00,15438833,15
43478377,3/19/2013 0:00:00,15496959,15
36866171,11/22/2012 0:00:00,13506482,11
36934067,11/23/2012 0:00:00,13527821,11
37015846,11/25/2012 0:00:00,13518156,9
37198083,11/28/2012 0:00:00,13607515,11
90291325,5/31/2015 0:00:00,30524658,8
